idx,specimen,measurement,start_time,end_time
79,FOF2-3,24.1.S.028E,2024-03-19 21:02:00.823002,2024-03-19 21:02:08.723002
80,FOF2-3,24.1.S.028E,2024-03-19 21:14:01.504991,2024-03-19 21:14:09.404991
81,FOF2-3,24.1.S.028E,2024-03-19 21:54:15.069973,2024-03-19 21:54:43.069973
82,FOF2-3,24.1.S.028E,2024-03-19 22:09:38.286973,2024-03-19 22:10:06.286973
83,FOF2-3,24.1.S.028E,2024-03-19 22:14:59.124983,2024-03-19 22:15:07.024983
84,FOF2-3,24.1.S.028E,2024-03-19 22:29:43.778000,2024-03-19 22:29:51.678000
85,FOF2-3,24.1.S.028E,2024-03-19 22:43:05.470976,2024-03-19 22:43:13.370976
86,FOF2-3,24.1.S.028E,2024-03-19 22:59:29.349968,2024-03-19 22:59:37.249968
87,FOF2-3,24.1.S.028E,2024-03-19 23:09:22.849988,2024-03-19 23:09:30.749988
88,FOF2-3,24.1.S.028E,2024-03-19 23:28:14.322990,2024-03-19 23:28:22.222990
89,FOF2-3,24.1.S.028E,2024-06-14 22:17:52.816980,2024-06-14 22:17:57.966980
90,FOF2-3,24.1.S.028E,2024-06-14 22:18:14.056012,2024-06-14 22:18:19.206012
91,FOF2-25,24.1.S.029E,2024-03-20 00:08:05.013986,2024-03-20 00:08:12.913986
92,FOF2-25,24.1.S.029E,2024-03-20 00:08:28.187990,2024-03-20 00:08:36.087990
93,FOF2-25,24.1.S.029E,2024-03-20 00:09:58.007981,2024-03-20 00:10:05.907981
94,FOF2-25,24.1.S.029E,2024-03-20 00:39:04.378996,2024-03-20 00:39:12.278996
95,FOF2-25,24.1.S.029E,2024-03-20 01:55:08.796000,2024-03-20 01:55:16.696000
96,FOF2-25,24.1.S.029E,2024-03-20 02:08:43.661989,2024-03-20 02:08:51.561989
97,FOF2-25,24.1.S.029E,2024-03-20 02:23:30.007976,2024-03-20 02:23:37.907976
98,FOF2-25,24.1.S.029E,2024-03-20 02:39:25.456988,2024-03-20 02:39:33.356988
99,FOF2-25,24.1.S.029E,2024-03-20 03:37:27.752966,2024-03-20 03:37:35.652966
100,FOF2-25,24.1.S.029E,2024-06-15 00:49:06.017012,2024-06-15 00:49:11.167012
101,FOF2-25,24.1.S.029E,2024-06-15 00:49:23.177007,2024-06-15 00:49:28.327007
102,FOF2-4,24.1.S.030E,2024-03-21 18:49:00.065002,2024-03-21 18:49:07.965002
103,FOF2-4,24.1.S.030E,2024-03-21 18:51:50.936978,2024-03-21 18:51:58.836978
104,FOF2-4,24.1.S.030E,2024-03-21 18:56:20.872992,2024-03-21 18:56:28.772992
105,FOF2-4,24.1.S.030E,2024-03-21 18:56:49.209993,2024-03-21 18:56:57.109993
106,FOF2-4,24.1.S.030E,2024-03-21 19:07:21.355991,2024-03-21 19:07:29.255991
107,FOF2-4,24.1.S.030E,2024-03-21 21:05:21.966992,2024-03-21 21:05:49.966992
