,sex,height,age
597,male,1.75,70
598,male,1.9,62
599,male,1.76,41
600,male,1.65,74
601,female,1.56,64
602,male,1.68,72
603,male,1.73,71
604,female,1.68,59
605,male,1.7,63
606,male,1.71,55
607,male,1.6,58
608,female,1.75,63
609,female,1.62,63
610,male,1.7,62
611,female,1.5,64
612,male,1.68,73
613,male,1.75,74
614,female,1.6,67
615,female,1.63,74
616,male,1.78,87
617,male,1.84,66
618,male,1.8,69
619,male,1.7,15
620,male,1.82,63
621,female,1.64,59
622,male,1.7,64
623,male,1.7,59
624,male,1.76,80
625,male,1.85,38
626,male,1.68,83
627,female,1.55,70
628,male,1.73,58
629,female,1.85,77
630,female,1.63,49
631,female,1.65,54
632,female,1.65,40
633,female,1.6,56
634,female,1.57,56
635,female,1.55,70
636,female,1.55,55
637,male,1.75,63
638,male,1.65,42
639,female,1.6,72
640,female,1.62,60
641,male,1.84,38
642,female,1.67,52
643,female,1.48,44
644,male,1.65,52
645,female,1.5,76
646,female,1.62,62
647,male,1.8,65
648,female,1.61,41
649,male,1.7,77
650,male,1.73,71
651,male,1.8,82
652,female,1.54,80
653,male,1.84,73
654,male,1.65,54
655,male,1.67,70
656,male,1.78,63
657,female,1.5,79
658,male,1.76,73
659,male,1.74,50
660,female,1.63,65
661,female,1.58,76
662,female,1.55,32
663,female,1.54,51
664,female,1.64,68
665,female,1.69,53
666,female,1.56,63
667,female,1.67,62
668,female,1.65,68
669,female,1.65,66
670,male,1.8,70
671,female,1.68,54
672,male,0.85,35
673,female,1.65,75
674,male,1.72,63
675,male,1.65,65
676,male,1.7,63
677,female,1.67,80
678,male,1.8,73
679,female,1.7,72
680,female,1.55,60
681,male,1.69,84
682,male,1.83,27
683,female,1.65,67
684,female,1.63,69
685,female,1.65,23
686,female,1.53,69
687,female,1.7,26
688,female,1.52,65
689,male,1.7,65
690,male,1.73,69
691,female,1.72,59
692,male,1.65,64
693,male,1.84,53
694,female,1.6,57
695,female,1.65,84
696,female,1.58,65
697,female,1.73,52
698,female,1.56,52
699,male,1.82,73
700,male,1.8,72
701,male,1.6,67
702,female,1.55,68
703,female,1.74,43
704,male,1.7,69
705,female,1.69,63
706,female,0.6,84
707,male,1.78,65
708,male,0.9,54
709,male,1.79,61
710,male,1.65,56
711,male,1.9,49
712,female,1.6,64
713,male,1.7,74
714,female,1.56,55
715,male,1.65,64
716,male,1.78,66
717,male,1.68,77
718,female,1.87,70
719,male,1.72,73
720,male,1.75,75
721,female,1.62,62
722,male,1.85,37
723,female,1.55,64
724,female,1.6,77
725,female,1.68,73
726,male,1.72,59
727,female,1.7,63
728,male,1.74,38
729,male,1.87,70
730,female,1.7,63
731,female,1.65,58
732,male,1.78,52
733,female,1.6,57
734,female,1.65,58
735,male,1.58,47
736,male,1.76,60
737,female,1.66,68
738,male,1.74,66
739,female,1.88,56
740,male,1.6,51
741,male,1.8,61
742,female,1.56,62
743,female,1.67,54
744,male,1.68,72
745,female,1.65,40
746,female,1.76,41
747,male,1.64,64
748,female,1.51,71
749,male,1.65,62
750,male,1.82,60
751,female,1.67,65
752,female,1.73,61
753,male,1.85,55
754,female,1.7,59
755,male,1.76,45
756,male,1.78,73
757,female,1.6,61
758,male,1.63,71
759,male,1.7,62
760,male,1.84,33
761,male,1.7,78
762,female,1.75,72
763,female,1.7,68
764,female,1.76,64
765,female,1.6,61
766,female,1.67,64
767,female,1.62,43
768,female,1.75,64
769,male,1.86,54
770,female,1.58,60
771,female,1.7,39
772,male,1.86,62
773,female,1.64,26
774,female,1.64,58
775,male,1.75,79
776,female,1.66,63
777,female,1.64,68
778,female,1.7,50
779,female,1.68,67
780,female,1.5,52
781,female,1.7,70
782,male,1.78,63
783,male,1.7,73
784,male,1.88,50
785,female,1.5,64
786,male,1.65,72
787,female,0.73,62
788,male,1.68,62
789,male,1.86,82
790,male,1.72,73
791,female,1.62,83
792,female,1.65,61
793,male,1.75,52
794,female,1.75,45
795,female,1.71,62
796,female,1.1,45
797,female,1.6,68
798,male,1.78,68
799,male,1.68,33
800,female,1.64,58
801,female,1.61,68
802,male,1.71,78
803,female,1.6,65
804,female,1.56,57
805,female,1.58,68
806,female,1.59,52
807,female,1.53,68
808,female,1.63,43
809,male,1.8,87
810,male,1.7,59
811,female,1.64,72
812,male,1.8,67
813,male,1.6,53
814,female,1.78,72
815,female,1.5,77
816,female,1.67,41
817,female,1.72,64
818,male,1.68,63
819,male,1.7,63
820,male,1.7,66
821,male,1.68,81
822,male,1.7,56
823,female,0.8,71
824,female,1.68,60
825,female,0.95,35
826,male,1.7,63
827,male,1.8,53
828,female,1.64,42
829,male,1.75,69
830,female,1.64,74
831,female,1.62,73
832,female,1.7,64
833,male,1.55,58
834,female,1.6,78
835,male,1.68,44
836,female,1.65,64
837,female,0.82,63
838,male,1.82,60
839,male,1.64,76
840,female,1.69,32
841,female,1.65,52
842,female,1.56,49
843,female,1.54,71
844,male,1.9,54
845,female,1.56,68
846,male,1.64,75
847,male,1.7,68
848,male,1.65,75
849,male,1.73,60
850,female,1.65,50
851,male,1.85,51
852,male,1.75,58
853,female,1.65,66
854,female,1.56,68
855,male,1.72,50
856,male,1.8,67
857,female,1.7,70
858,male,1.7,46
859,male,1.7,71
860,female,1.56,67
861,male,1.7,70
862,female,1.55,57
863,female,1.57,57
864,male,1.6,53
865,male,1.92,62
866,male,1.72,51
867,male,1.7,70
868,female,0.7,62
869,female,1.64,66
870,female,0.7,76
871,female,1.65,59
872,male,1.72,76
873,male,1.8,68
874,female,1.58,67
875,female,1.65,70
876,male,1.76,69
877,female,1.5,67
878,female,1.65,63
879,female,1.67,72
880,female,1.72,51
881,female,1.52,63
882,female,1.7,73
883,male,1.73,78
884,female,1.64,39
885,female,1.68,46
886,female,1.65,60
887,male,1.8,56
888,male,1.73,32
889,male,1.73,45
890,male,1.74,83
891,female,1.68,61
892,female,1.5,71
893,female,1.6,64
894,female,1.65,69
895,male,1.6,75
896,female,1.6,74
897,female,1.63,65
898,female,1.56,46
899,female,1.68,63
900,male,1.67,52
901,male,1.83,46
902,female,1.65,67
903,male,1.83,55
904,male,1.75,43
905,female,1.6,61
906,male,1.78,51
907,female,1.65,67
908,female,1.58,80
909,female,1.67,67
910,female,1.61,63
911,male,1.7,47
912,male,1.6,60
913,female,1.76,40
